150.7	153.75
165.2	174.35
175.9	205.65
211.35	220
224.2	363.6
365.35	374.85
375.4	421.1
468.5	470.7
477.85	495.8
495.95	509.95
624.45	626.6
673.5	714.7
714.85	923.75
981.65	1022.2
1023.9	1203.1
1222.5	1227.15
1253	1259.45
1261	1274.55
1274.85	1283.75
1284.25	1300.4
1303.3	1308.05
1309.05	1311.6
1315.45	1317.6
1318.8	1328.35
1330.15	1332.6
1332.65	1337.95
1343.2	1347.55
1367.8	1373
1398.1	1442.75
1450.9	1455.25
1462.25	1475.95
1477.3	1484.8
1496.85	1502.3
1504.4	1506.75
1509.25	1513.95
1515.6	1519.8
1526	1529.2
1532.85	1544.4
1548.45	1561.05
1571.35	1576.4
1577.1	1581.85
1629.95	1634.3
1662.8	1680.7
1691.1	1707.75
1810.5	1818.25
1829.7	1831.7
1849	1857.15
1857.75	1860.2
1933.65	1935.75
1942.75	1949.35
1960.8	1964.6
1968.7	1975.75
1990.65	1998.3
2033.2	2036.55
2048.6	2054.2
2067.85	2109.65
2124	2155.85
2168.6	2192.3
2200.85	2216.85
2219.65	2229.55
2260.7	2279.95
2282.3	2294.9
2333.4	2347.3
2348.3	2351
